age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,85034,274,29,6.9,0,0,0.04,99.96,0
12-15,380123,304931,2707,59.8,47.9,0.4,58.47,41.52,0.01
16-19,518625,451143,210185,87.7,76.3,35.5,64.4,20.89,14.71
20-29,1112618,993908,659530,84.3,75.3,50,66.67,15.71,17.62
30-39,1061751,973006,666494,87.9,80.6,55.2,70.06,12.61,17.33
40-49,996722,926273,701833,89.7,83.4,63.2,76.22,10.51,13.27
50-59,791452,745455,610643,90.5,85.2,69.8,80.57,8.88,10.56
60-69,689810,663591,579466,92.3,88.8,77.5,85.59,7.64,6.77
70-79,476989,466547,439041,90.5,88.5,83.3,88.27,6.55,5.18
80-89,215850,210466,192183,90.4,88.2,80.5,85.29,7.44,7.26
90+,49133,47341,42107,83.7,80.7,71.7,75.65,11.43,12.92
