period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,167,346,18.23,37.77
3_Month,5-11,471,1030,15.99,34.96
6_Month,5-11,3143,10749,9.36,32.02
1_Year,5-11,5188,51615,1.05,10.46
All,5-11,5188,53388,0.72,7.37
1_Month,12-15,316,138,34.27,14.97
3_Month,12-15,685,419,26.44,16.17
6_Month,12-15,2413,2723,14.16,15.98
1_Year,12-15,9333,17701,3.91,7.42
All,12-15,9396,19040,2.7,5.48
1_Month,16-19,770,94,46.27,5.65
3_Month,16-19,1246,199,38.53,6.15
6_Month,16-19,4541,1279,23.07,6.5
1_Year,16-19,15690,10073,7.86,5.05
All,16-19,15903,11347,5.12,3.65
1_Month,20-29,1902,162,44.85,3.82
3_Month,20-29,3172,351,37.4,4.14
6_Month,20-29,13317,3113,22.12,5.17
1_Year,20-29,39690,19329,9.08,4.42
All,20-29,40182,21913,6.09,3.32
1_Month,30-39,1820,204,39.77,4.46
3_Month,30-39,3274,463,32.84,4.64
6_Month,30-39,14829,3977,20.05,5.38
1_Year,30-39,38726,18391,8.02,3.81
All,30-39,39169,20252,5.86,3.03
1_Month,40-49,2277,171,43.37,3.26
3_Month,40-49,3926,429,34.66,3.79
6_Month,40-49,14815,3104,19.57,4.1
1_Year,40-49,35692,13760,7.89,3.04
All,40-49,36088,14935,5.96,2.47
1_Month,50-59,1854,173,34.56,3.23
3_Month,50-59,3210,344,26.97,2.89
6_Month,50-59,10916,1946,14.98,2.67
1_Year,50-59,23847,7652,7.29,2.34
All,50-59,24088,8211,5.62,1.92
1_Month,60-69,1458,102,25.32,1.77
3_Month,60-69,2687,195,19.23,1.4
6_Month,60-69,8515,1099,10.59,1.37
1_Year,60-69,15865,4097,6.11,1.58
All,60-69,16030,4323,4.94,1.33
1_Month,70-79,945,51,16.67,0.9
3_Month,70-79,1915,100,12.99,0.68
6_Month,70-79,5599,485,7.54,0.65
1_Year,70-79,8588,1337,4.88,0.76
All,70-79,8682,1431,4.15,0.68
1_Month,80+,670,68,17.45,1.77
3_Month,80+,1233,118,13.85,1.33
6_Month,80+,3771,381,9.08,0.92
1_Year,80+,5532,850,6.15,0.95
All,80+,5612,920,4.99,0.82
