age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,356303,285181,635971,56,44.8,460,0.1
16-19,509548,440468,591331,86.2,74.5,180969,30.6
20-29,1094727,978744,1319364,83,74.2,594365,45
30-39,1049752,962507,1207243,87,79.7,613696,50.8
40-49,988622,918590,1110965,89,82.7,667736,60.1
50-59,786533,740292,874608,89.9,84.6,590085,67.5
60-69,687019,660258,747217,91.9,88.4,568255,76
70-79,475536,464745,526929,90.2,88.2,432685,82.1
80-89,215222,209545,238729,90.2,87.8,189155,79.2
90+,48944,47128,58687,83.4,80.3,41182,70.2
