age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1709,0,2296,584.8,,250.9,0,0,2,0,,0.2
12-15,1104,394,496,343.9,761.9,201,2,0,0,0.6,0,0
16-19,1489,213,305,372.9,337.8,262.2,1,0,0,0.3,0,0
20-29,4267,380,604,444,246.4,335.4,1,0,1,0.1,0,0.6
30-39,4829,452,721,524.6,340.5,539.7,7,1,6,0.8,0.8,4.5
40-49,4962,302,541,553.9,310.8,525,7,4,7,0.8,4.1,6.8
50-59,3832,186,459,521.7,281,703.9,16,3,22,2.2,4.5,33.7
60-69,3615,186,381,554.5,488.5,720.9,43,6,18,6.6,15.8,34.1
70-79,2474,84,312,515,385.7,1415.9,45,8,28,9.4,36.7,127.1
80-89,1070,57,198,507.8,393.5,1754.5,40,10,21,19,69,186.1
90+,301,23,71,626.9,332.4,3078.9,9,3,9,18.7,43.4,390.3
