age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,152568,39945,32,12.3,3.2,0,0.61,99.38,0
12-15,390381,314720,11716,61.4,49.5,1.8,58.67,41.31,0.02
16-19,520817,453299,220468,88.1,76.7,37.3,65.53,20.68,13.8
20-29,1117032,998396,673720,84.7,75.7,51.1,67.81,15.34,16.85
30-39,1064854,976242,679341,88.2,80.9,56.3,71.09,12.32,16.59
40-49,998863,928778,710611,89.9,83.6,64,76.97,10.3,12.73
50-59,792712,747119,615832,90.6,85.4,70.4,81.17,8.64,10.19
60-69,690593,664703,582442,92.4,89,77.9,85.91,7.51,6.57
70-79,477387,467203,440766,90.6,88.7,83.6,88.78,6.17,5.04
80-89,216013,210702,192838,90.5,88.3,80.8,85.72,7.15,7.13
90+,49185,47405,42302,83.8,80.8,72.1,76.44,10.74,12.82
