age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,352555,279085,635971,55.4,43.9,437,0.1
16-19,506586,437828,591331,85.7,74,170857,28.9
20-29,1088859,975613,1319364,82.5,73.9,563857,42.7
30-39,1046053,960285,1207243,86.6,79.5,591745,49
40-49,986182,916980,1110965,88.8,82.5,653017,58.8
50-59,785055,739265,874608,89.8,84.5,581435,66.5
60-69,686149,659475,747217,91.8,88.3,563618,75.4
70-79,475033,464160,526929,90.2,88.1,430089,81.6
80-89,215011,209317,238729,90.1,87.7,187780,78.7
90+,48888,47078,58687,83.3,80.2,40685,69.3
