age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,181007,61898,34,14.6,5,0,3.3,96.7,0
12-15,394244,318636,18202,62,50.1,2.9,58.81,41.17,0.02
16-19,521469,453874,224949,88.2,76.8,38,65.88,20.6,13.52
20-29,1118252,999731,677536,84.8,75.8,51.4,68.13,15.23,16.64
30-39,1065808,977286,683053,88.3,81,56.6,71.41,12.21,16.38
40-49,999512,929539,713307,90,83.7,64.2,77.19,10.24,12.57
50-59,793120,747631,617387,90.7,85.5,70.6,81.36,8.55,10.09
60-69,690830,665055,583339,92.5,89,78.1,86,7.47,6.53
70-79,477518,467419,441345,90.6,88.7,83.8,88.96,6.03,5.01
80-89,216065,210801,193063,90.5,88.3,80.9,85.85,7.05,7.1
90+,49197,47420,42361,83.8,80.8,72.2,76.71,10.49,12.79
