age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.21,75.79,0
12-15,65.5,54.4,14.3,0,51.82,39.83,8.35
16-19,89.3,78.1,45.6,0.1,69,20.1,10.9
20-29,85.7,76.9,54.4,0.6,74.19,13.9,11.91
30-39,89.1,81.9,59.4,1.6,77.56,11.26,11.19
40-49,90.6,84.6,66.7,2.6,81.73,9.4,8.87
50-59,91.1,86.3,72.9,5.2,84.82,7.53,7.65
60-69,92.8,89.8,80.2,30.2,87.76,7.12,5.13
70-79,90.9,89.4,85.9,49,91.64,4.2,4.15
80-89,90.8,89,83.4,51.2,89.1,4.77,6.13
90+,84.4,81.7,76.1,49.3,83.88,4.03,12.09
