period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,275,3289,0.76,9.07
3_Month,5-11,1415,36656,0.34,8.7
6_Month,5-11,1415,37239,0.3,7.94
1_Year,5-11,1415,38331,0.25,6.88
All,5-11,1415,38429,0.22,5.86
1_Month,12-15,529,833,3.2,5.03
3_Month,12-15,6273,13783,3.09,6.8
6_Month,12-15,6302,14036,2.94,6.54
1_Year,12-15,6372,14893,2.58,6.04
All,12-15,6372,15030,2.04,4.81
1_Month,16-19,731,292,5.26,2.1
3_Month,16-19,10113,8290,6.19,5.08
6_Month,16-19,10151,8522,5.96,5
1_Year,16-19,10360,9251,5.38,4.8
All,16-19,10369,9512,3.78,3.47
1_Month,20-29,1841,629,6.02,2.06
3_Month,20-29,22905,15041,7.07,4.64
6_Month,20-29,23063,15631,6.78,4.59
1_Year,20-29,23508,17104,5.95,4.33
All,20-29,23524,17505,4.29,3.19
1_Month,30-39,1815,614,4.95,1.67
3_Month,30-39,20361,13063,5.88,3.77
6_Month,30-39,20523,13562,5.62,3.71
1_Year,30-39,20878,14580,4.97,3.47
All,30-39,20900,14844,3.92,2.78
1_Month,40-49,1569,471,4.5,1.35
3_Month,40-49,17861,9637,5.63,3.04
6_Month,40-49,17991,9923,5.44,3
1_Year,40-49,18286,10542,4.89,2.82
All,40-49,18311,10735,3.89,2.28
1_Month,50-59,1053,269,4.28,1.09
3_Month,50-59,10858,5122,5.29,2.49
6_Month,50-59,10918,5246,5.16,2.48
1_Year,50-59,11094,5492,4.69,2.32
All,50-59,11117,5634,3.62,1.83
1_Month,60-69,551,138,3.21,0.8
3_Month,60-69,5946,2684,4.39,1.98
6_Month,60-69,5978,2724,4.3,1.96
1_Year,60-69,6086,2816,3.93,1.82
All,60-69,6104,2884,3.05,1.44
1_Month,70-79,205,51,2.06,0.51
3_Month,70-79,2325,741,3.33,1.06
6_Month,70-79,2348,754,3.28,1.05
1_Year,70-79,2409,787,3,0.98
All,70-79,2419,825,2.35,0.8
1_Month,80-89,107,22,2.9,0.6
3_Month,80-89,1024,323,3.79,1.19
6_Month,80-89,1028,330,3.68,1.18
1_Year,80-89,1064,339,3.31,1.05
All,80-89,1077,368,2.44,0.83
1_Month,90+,30,8,3.4,0.91
3_Month,90+,363,82,5.1,1.15
6_Month,90+,366,82,4.97,1.11
1_Year,90+,382,86,4.5,1.01
All,90+,388,97,3.11,0.78
