age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,278156,124973,46,22.5,10.1,0,12.06,87.94,0
12-15,409632,331021,61655,64.4,52,9.7,59.44,40.28,0.27
16-19,525516,457652,251718,88.9,77.4,42.6,67.77,20.17,12.06
20-29,1125001,1006265,699765,85.3,76.3,53,69.82,14.73,15.45
30-39,1070760,982169,702520,88.7,81.4,58.2,72.9,11.81,15.3
40-49,1003064,933662,728921,90.3,84,65.6,78.35,9.89,11.76
50-59,795101,750612,628388,90.9,85.8,71.8,82.27,8.24,9.49
60-69,692087,667765,592385,92.6,89.4,79.3,86.44,7.36,6.19
70-79,478182,469131,447750,90.7,89,85,89.5,5.74,4.76
80-89,216425,211553,196277,90.7,88.6,82.2,87.03,6.12,6.85
90+,49357,47650,43480,84.1,81.2,74.1,79.57,7.65,12.78
