age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.8,16.5,0,0,21.74,78.26,0
12-15,65.4,54,13.8,0,57.43,39.44,3.13
16-19,89.2,77.9,45.1,0.1,69.81,19.86,10.33
20-29,85.5,76.6,54,0.3,72.79,14.26,12.96
30-39,88.9,81.7,59.1,0.9,75.81,11.46,12.73
40-49,90.5,84.3,66.4,1.5,80.44,9.63,9.93
50-59,91,86.1,72.6,2.8,83.79,7.92,8.29
60-69,92.7,89.6,80,27.9,87.22,7.24,5.55
70-79,90.8,89.3,85.7,45.9,90.4,5.2,4.4
80-89,90.8,88.9,83.1,47.9,87.98,5.59,6.43
90+,84.3,81.6,75.6,45.6,81.39,6.3,12.31
