period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,174,324,20.16,37.54
3_Month,5-11,404,810,17.69,35.46
6_Month,5-11,2810,9233,10.07,33.09
1_Year,5-11,5291,51714,1.08,10.55
All,5-11,5291,53567,0.73,7.39
1_Month,12-15,374,168,38.84,17.45
3_Month,12-15,715,366,31.65,16.2
6_Month,12-15,2271,2317,16.73,17.06
1_Year,12-15,9528,17761,4,7.46
All,12-15,9595,19133,2.76,5.49
1_Month,16-19,973,129,46.4,6.15
3_Month,16-19,1643,235,42.59,6.09
6_Month,16-19,4615,1194,26.17,6.77
1_Year,16-19,16206,10131,8.09,5.06
All,16-19,16429,11422,5.27,3.66
1_Month,20-29,2424,212,46.33,4.05
3_Month,20-29,4133,415,41.24,4.14
6_Month,20-29,13349,2879,24.9,5.37
1_Year,20-29,40955,19413,9.34,4.43
All,20-29,41479,22039,6.26,3.33
1_Month,30-39,2384,300,42.63,5.36
3_Month,30-39,4135,544,37.09,4.88
6_Month,30-39,14840,3658,22.62,5.58
1_Year,30-39,40016,18528,8.26,3.83
All,30-39,40497,20427,6.03,3.04
1_Month,40-49,2931,221,47.13,3.55
3_Month,40-49,5033,448,40.06,3.57
6_Month,40-49,15035,2878,22.45,4.3
1_Year,40-49,37258,13854,8.19,3.05
All,40-49,37683,15055,6.19,2.47
1_Month,50-59,2360,205,37.13,3.23
3_Month,50-59,4160,410,31.3,3.09
6_Month,50-59,11251,1854,17.35,2.86
1_Year,50-59,25138,7763,7.62,2.35
All,50-59,25392,8330,5.88,1.93
1_Month,60-69,1969,136,28.83,1.99
3_Month,60-69,3534,238,23.07,1.55
6_Month,60-69,8990,1058,12.46,1.47
1_Year,60-69,16975,4162,6.45,1.58
All,60-69,17151,4393,5.22,1.34
1_Month,70-79,1271,62,19.14,0.93
3_Month,70-79,2443,128,15.39,0.81
6_Month,70-79,5878,485,8.78,0.72
1_Year,70-79,9328,1375,5.2,0.77
All,70-79,9425,1469,4.43,0.69
1_Month,80+,852,83,18.14,1.77
3_Month,80+,1580,146,15.43,1.43
6_Month,80+,4061,395,10.31,1
1_Year,80+,6010,889,6.5,0.96
All,80+,6091,959,5.3,0.83
