period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,133,251,20.15,38.03
3_Month,5-11,411,814,18.65,36.93
6_Month,5-11,1725,4944,11.95,34.25
1_Year,5-11,5292,50584,1.12,10.75
All,5-11,5351,53688,0.74,7.4
1_Month,12-15,214,121,34.97,19.77
3_Month,12-15,736,360,34.15,16.71
6_Month,12-15,1618,1320,21.18,17.28
1_Year,12-15,9256,16969,4.11,7.54
All,12-15,9687,19189,2.78,5.51
1_Month,16-19,854,93,49.65,5.41
3_Month,16-19,2001,250,45.93,5.74
6_Month,16-19,3808,752,32.62,6.44
1_Year,16-19,15915,9428,8.33,4.94
All,16-19,16897,11465,5.41,3.67
1_Month,20-29,2039,183,48.1,4.32
3_Month,20-29,4963,454,44.81,4.1
6_Month,20-29,10714,1802,29.98,5.04
1_Year,20-29,40459,18260,9.67,4.36
All,20-29,42610,22133,6.41,3.33
1_Month,30-39,1988,227,44.94,5.13
3_Month,30-39,4806,583,40.42,4.9
6_Month,30-39,11500,2323,27.18,5.49
1_Year,30-39,40091,17859,8.54,3.8
All,30-39,41525,20539,6.16,3.05
1_Month,40-49,2345,197,47.77,4.01
3_Month,40-49,5805,484,43.54,3.63
6_Month,40-49,11937,1878,27.39,4.31
1_Year,40-49,37468,13349,8.49,3.03
All,40-49,38867,15159,6.36,2.48
1_Month,50-59,1942,163,39.34,3.3
3_Month,50-59,4802,440,34.67,3.18
6_Month,50-59,9387,1263,21.64,2.91
1_Year,50-59,25533,7509,7.91,2.33
All,50-59,26390,8401,6.07,1.93
1_Month,60-69,1593,115,29.85,2.15
3_Month,60-69,3963,267,25.66,1.73
6_Month,60-69,7631,765,15.46,1.55
1_Year,60-69,17428,4068,6.72,1.57
All,60-69,17920,4449,5.41,1.34
1_Month,70-79,1101,55,21.2,1.06
3_Month,70-79,2690,137,17.6,0.9
6_Month,70-79,5233,367,11.03,0.77
1_Year,70-79,9753,1352,5.47,0.76
All,70-79,9986,1498,4.64,0.7
1_Month,80+,745,62,18.7,1.56
3_Month,80+,1811,159,17.06,1.5
6_Month,80+,3696,351,12.32,1.17
1_Year,80+,6350,898,6.81,0.96
All,80+,6509,993,5.56,0.85
