age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.24,81.39,18.37
12-15,65.7,54.7,15,0,0.66,47.62,51.72
16-19,89.3,78.3,46,0.2,0.58,24.47,74.95
20-29,85.7,77.2,54.8,0.9,0.83,12.57,86.59
30-39,89,82.1,59.8,2.1,1.41,10.28,88.31
40-49,90.6,84.8,67.1,3.6,2.14,8.37,89.49
50-59,91.3,86.6,73.4,7.4,4.25,5.47,90.28
60-69,93.2,90.4,80.9,34.2,11.65,7.47,80.89
70-79,92.1,90.7,87.4,54.8,25.58,0.63,73.79
80+,95.3,93.3,87.6,58.2,27.87,2.82,69.3
