age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.6,80.1,19.3
12-15,65.7,54.7,15,0,1.3,45,53.7
16-19,89.3,78.3,46,0.2,1.1,23.2,75.8
20-29,85.6,77.1,54.8,0.9,1.5,13.1,85.4
30-39,89,82,59.8,2.1,1.7,10.5,87.9
40-49,90.6,84.8,67.1,3.5,2.1,8.8,89.1
50-59,91.2,86.6,73.3,7.3,3.2,6.3,90.5
60-69,93.2,90.3,80.9,34.2,4.2,7.6,88.3
70-79,92.1,90.7,87.4,54.7,4.6,2.9,92.5
80+,95.3,93.3,87.6,58.1,3.9,5.7,90.4
