age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,302793,171482,49,24.5,13.8,0,16.85,83.15,0
12-15,414814,338487,81115,65.2,53.2,12.8,59.77,39.73,0.5
16-19,527032,459469,262974,89.1,77.7,44.5,69.02,19.93,11.05
20-29,1127304,1009203,708105,85.4,76.5,53.7,71.03,14.47,14.5
30-39,1072805,984599,710245,88.9,81.6,58.8,74.03,11.58,14.39
40-49,1004497,935598,735094,90.4,84.2,66.2,79.2,9.71,11.09
50-59,795896,752108,632969,91,86,72.4,82.92,8.05,9.03
60-69,692537,669135,596133,92.7,89.6,79.8,86.79,7.29,5.93
70-79,478464,470019,450470,90.8,89.2,85.5,89.93,5.49,4.58
80-89,216634,212059,197980,90.7,88.8,82.9,87.56,5.83,6.61
90+,49442,47814,44194,84.2,81.5,75.3,80.54,6.95,12.51
