age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.23,81.4,18.36
12-15,65.7,54.7,15,0,0.66,47.65,51.69
16-19,89.3,78.3,46,0.2,0.58,24.48,74.94
20-29,85.7,77.2,54.8,0.9,0.84,12.56,86.59
30-39,89.1,82.1,59.8,2.1,1.42,10.27,88.31
40-49,90.6,84.8,67.1,3.6,2.16,8.37,89.47
50-59,91.3,86.6,73.4,7.4,4.3,5.46,90.24
60-69,93.2,90.4,80.9,34.2,11.75,7.47,80.78
70-79,92.1,90.7,87.4,54.8,25.76,0.61,73.63
80+,95.3,93.3,87.6,58.2,28,2.82,69.18
