period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,136,259,20.21,38.48
3_Month,5-11,418,831,18.67,37.11
6_Month,5-11,1666,4767,11.99,34.32
1_Year,5-11,5296,50376,1.13,10.78
All,5-11,5360,53706,0.74,7.4
1_Month,12-15,211,113,35.23,18.86
3_Month,12-15,751,361,34.5,16.58
6_Month,12-15,1604,1284,21.49,17.2
1_Year,12-15,9207,16786,4.13,7.53
All,12-15,9702,19192,2.78,5.51
1_Month,16-19,876,96,49.74,5.45
3_Month,16-19,2051,254,46.2,5.72
6_Month,16-19,3815,743,33.03,6.43
1_Year,16-19,15788,9251,8.36,4.9
All,16-19,16949,11470,5.42,3.67
1_Month,20-29,2140,186,48.95,4.25
3_Month,20-29,5105,462,45.18,4.09
6_Month,20-29,10710,1765,30.41,5.01
1_Year,20-29,40273,17990,9.72,4.34
All,20-29,42761,22143,6.43,3.33
1_Month,30-39,2035,237,45.65,5.32
3_Month,30-39,4921,597,40.78,4.95
6_Month,30-39,11370,2264,27.54,5.48
1_Year,30-39,39991,17713,8.57,3.8
All,30-39,41646,20556,6.18,3.05
1_Month,40-49,2363,205,48.15,4.18
3_Month,40-49,5931,496,43.89,3.67
6_Month,40-49,11866,1834,27.84,4.3
1_Year,40-49,37411,13219,8.54,3.02
All,40-49,39000,15172,6.38,2.48
1_Month,50-59,1953,161,39.65,3.27
3_Month,50-59,4881,446,34.84,3.18
6_Month,50-59,9314,1232,21.97,2.91
1_Year,50-59,25525,7444,7.95,2.32
All,50-59,26481,8407,6.09,1.93
1_Month,60-69,1575,118,29.87,2.24
3_Month,60-69,4011,274,25.76,1.76
6_Month,60-69,7583,751,15.73,1.56
1_Year,60-69,17443,4036,6.75,1.56
All,60-69,17981,4456,5.43,1.35
1_Month,70-79,1094,60,21.29,1.17
3_Month,70-79,2735,142,17.76,0.92
6_Month,70-79,5213,361,11.24,0.78
1_Year,70-79,9788,1357,5.5,0.76
All,70-79,10037,1504,4.66,0.7
1_Month,80+,750,59,18.94,1.49
3_Month,80+,1843,158,17.13,1.47
6_Month,80+,3695,348,12.5,1.18
1_Year,80+,6374,896,6.84,0.96
All,80+,6543,992,5.58,0.85
