age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,4117,4,9072,1410.7,,994.6,0,0,1,0,,0.1
12-15,3588,696,2036,1061.2,1898.7,833.8,2,0,5,0.6,0,2
16-19,4450,718,1182,1100,1222.3,1026.9,1,0,2,0.2,0,1.7
20-29,8220,1243,2262,856.9,809.4,1243.9,1,0,2,0.1,0,1.1
30-39,11160,1627,2646,1215.7,1215.8,1967.2,6,1,8,0.7,0.7,5.9
40-49,10908,1070,2137,1220,1096.3,2054.8,10,6,10,1.1,6.1,9.6
50-59,7602,698,1463,1037.9,1051.7,2188.4,31,14,36,4.2,21.1,53.9
60-69,7489,590,1312,1150.1,1537.6,2469,64,11,53,9.8,28.7,99.7
70-79,4773,316,817,999.4,1443.4,3320.6,87,18,65,18.2,82.2,264.2
80-89,2636,183,577,1257.8,1253,4747.8,79,17,80,37.7,116.4,658.3
90+,969,56,216,2049,807.6,7277.6,28,4,19,59.2,57.7,640.2
