period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,803,22398,0.32,8.85
3_Month,5-11,1202,34655,0.3,8.58
6_Month,5-11,1202,35783,0.24,7.13
1_Year,5-11,1202,36231,0.22,6.62
All,5-11,1202,36316,0.19,5.74
1_Month,12-15,3447,6544,3.14,5.97
3_Month,12-15,5947,13300,3.08,6.88
6_Month,12-15,6015,14011,2.71,6.3
1_Year,12-15,6036,14371,2.49,5.92
All,12-15,6036,14490,2,4.8
3_Month,16-19,9642,8118,6.24,5.26
1_Month,16-19,4927,2884,5.77,3.38
6_Month,16-19,9783,8817,5.59,5.04
1_Year,16-19,9880,9082,5.24,4.82
All,16-19,9889,9319,3.73,3.52
1_Month,20-29,11417,5612,6.92,3.4
6_Month,20-29,22062,16216,6.27,4.61
1_Year,20-29,22233,16752,5.76,4.34
All,20-29,22244,17095,4.23,3.25
3_Month,20-29,21653,14689,7.13,4.84
1_Month,30-39,11223,5981,5.76,3.07
3_Month,30-39,19177,12709,5.94,3.94
6_Month,30-39,19508,13833,5.24,3.72
1_Year,30-39,19674,14223,4.86,3.52
All,30-39,19680,14439,3.88,2.84
1_Year,40-49,17236,10273,4.84,2.88
6_Month,40-49,17095,10035,5.19,3.05
3_Month,40-49,16831,9372,5.72,3.18
1_Month,40-49,9565,4251,5.37,2.39
All,40-49,17248,10436,3.87,2.34
All,50-59,10376,5456,3.58,1.88
6_Month,50-59,10273,5234,5,2.55
3_Month,50-59,10131,4954,5.38,2.63
1_Month,50-59,5801,2242,5.05,1.95
1_Year,50-59,10367,5330,4.65,2.39
1_Month,60-69,2941,1129,4.11,1.58
All,60-69,5711,2786,3.04,1.48
1_Year,60-69,5704,2727,3.94,1.88
6_Month,60-69,5634,2678,4.26,2.02
3_Month,60-69,5565,2591,4.52,2.1
3_Month,70-79,2175,712,3.48,1.14
1_Month,70-79,1090,337,3.07,0.95
All,70-79,2265,795,2.37,0.83
1_Year,70-79,2260,761,3.05,1.03
6_Month,70-79,2220,737,3.32,1.1
All,80-89,1002,348,2.42,0.84
1_Year,80-89,992,320,3.3,1.07
3_Month,80-89,951,305,3.9,1.25
1_Month,80-89,472,159,3.23,1.09
6_Month,80-89,971,313,3.64,1.17
All,90+,368,93,3.1,0.78
1_Year,90+,365,82,4.54,1.02
6_Month,90+,351,79,4.94,1.11
3_Month,90+,344,77,5.29,1.18
1_Month,90+,158,42,4.06,1.08
