age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,10,25,52,190.6,11.2,5.5,0,0,0,0,0,0
12-15,8,60,17,146.7,18.5,6.1,0,0,0,0,0,0
16-19,9,181,16,255,41.3,11.7,0,0,0,0,0,0
20-29,16,441,44,161.3,39.4,26.3,0,0,1,0,0,0.6
30-39,15,369,49,141.2,34.9,39.4,0,0,1,0,0,0.8
40-49,18,461,51,133.5,46.6,53.6,0,1,0,0,0.1,0
50-59,22,551,40,122.6,69.2,76.6,0,6,3,0,0.8,5.7
60-69,69,993,54,261,150.7,97.9,0,9,4,0,1.4,7.3
70-79,109,1153,62,366.8,241.1,586.2,1,16,3,3.4,3.3,28.4
80+,64,871,68,429.2,350.2,467.1,3,22,9,20.1,8.8,61.8
