age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,0,2024,0,0,185.6,0,0,0,0,0,0
12-15,176,0,332,49.5,0,132.1,0,0,0,0,0,0
16-19,92,32,134,24.6,39.9,112.8,0,0,1,0,0,0.8
20-29,326,151,252,37.6,69.1,127.4,0,1,1,0,0.5,0.5
30-39,438,202,261,52.5,102.4,179.3,0,0,4,0,0,2.7
40-49,384,125,190,45.9,89.2,168.6,0,1,16,0,0.7,14.2
50-59,219,44,110,31.3,49.7,147,1,1,15,0.1,1.1,20
60-69,132,30,70,20.8,61.1,125.3,3,3,13,0.5,6.1,23.3
70-79,73,9,32,15.7,33.9,98.1,2,2,5,0.4,7.5,15.3
80-89,25,4,22,12.4,23.6,129.4,3,0,4,1.5,0,23.5
90+,3,4,5,6.9,54.4,80.7,0,0,0,0,0,0
