age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,134445,22129,31,10.9,1.8,0,0.1,99.9,0
12-15,387767,311219,7951,61,48.9,1.3,58.58,41.4,0.02
16-19,520246,452757,217392,88,76.6,36.8,65.24,20.75,14.01
20-29,1116036,997275,670419,84.6,75.6,50.8,67.55,15.42,17.04
30-39,1064124,975475,676457,88.1,80.8,56,70.87,12.37,16.76
40-49,998359,928115,708480,89.9,83.5,63.8,76.8,10.34,12.86
50-59,792431,746684,614590,90.6,85.4,70.3,81.04,8.68,10.28
60-69,690412,664397,581681,92.4,88.9,77.8,85.83,7.54,6.63
70-79,477310,467034,440334,90.6,88.6,83.6,88.69,6.23,5.08
80-89,215963,210640,192656,90.5,88.2,80.7,85.61,7.21,7.18
90+,49177,47388,42251,83.8,80.7,72,76.31,10.84,12.85
