age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,52317,257,29,4.2,0,0,0.03,99.97,0
12-15,374996,303591,1200,59,47.7,0.2,58.4,41.58,0.01
16-19,517941,450401,206834,87.6,76.2,35,64.05,20.93,15.02
20-29,1111204,992350,654110,84.2,75.2,49.6,66.3,15.87,17.83
30-39,1060697,972001,661744,87.9,80.5,54.8,69.77,12.7,17.53
40-49,996023,925500,698748,89.7,83.3,62.9,75.99,10.59,13.42
50-59,791010,744896,608638,90.4,85.2,69.6,80.37,8.98,10.66
60-69,689559,663243,578448,92.3,88.8,77.4,85.49,7.7,6.81
70-79,476870,466364,438456,90.5,88.5,83.2,88.1,6.7,5.21
80-89,215802,210392,191924,90.4,88.1,80.4,85.15,7.57,7.29
90+,49120,47324,42037,83.7,80.6,71.6,75.45,11.66,12.89
