period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,906,26962,0.3,8.83
3_Month,5-11,1145,33592,0.29,8.55
6_Month,5-11,1145,34773,0.23,6.99
1_Year,5-11,1145,35159,0.21,6.54
All,5-11,1145,35240,0.18,5.68
All,12-15,5859,14200,1.98,4.79
1_Year,12-15,5859,14083,2.46,5.9
6_Month,12-15,5841,13810,2.66,6.29
3_Month,12-15,5770,13022,3.07,6.93
1_Month,12-15,4256,8786,3.11,6.42
All,16-19,9663,9229,3.7,3.54
6_Month,16-19,9582,8798,5.55,5.1
1_Month,16-19,6210,4289,5.85,4.04
3_Month,16-19,9420,8031,6.27,5.35
1_Year,16-19,9655,8996,5.21,4.85
1_Year,20-29,21724,16567,5.7,4.35
1_Month,20-29,14597,8537,7.03,4.11
3_Month,20-29,21148,14503,7.16,4.91
6_Month,20-29,21586,16150,6.18,4.63
All,20-29,21735,16898,4.2,3.26
6_Month,30-39,19017,13734,5.17,3.74
All,30-39,19146,14251,3.85,2.86
1_Year,30-39,19140,14044,4.82,3.54
3_Month,30-39,18648,12527,5.96,4
1_Month,30-39,14019,8420,5.9,3.55
1_Month,40-49,11996,6009,5.57,2.79
All,40-49,16790,10284,3.85,2.36
1_Year,40-49,16778,10127,4.82,2.91
6_Month,40-49,16662,9934,5.14,3.06
3_Month,40-49,16376,9222,5.75,3.24
1_Month,50-59,7244,3156,5.23,2.28
All,50-59,10095,5371,3.56,1.9
3_Month,50-59,9852,4872,5.41,2.67
1_Year,50-59,10087,5249,4.63,2.41
6_Month,50-59,10007,5165,4.95,2.56
All,60-69,5560,2750,3.03,1.5
1_Year,60-69,5554,2693,3.94,1.91
6_Month,60-69,5494,2646,4.23,2.04
1_Month,60-69,3832,1663,4.36,1.89
3_Month,60-69,5416,2556,4.55,2.15
1_Year,70-79,2213,745,3.07,1.04
6_Month,70-79,2177,723,3.32,1.1
3_Month,70-79,2130,696,3.54,1.16
1_Month,70-79,1477,465,3.37,1.06
All,70-79,2218,779,2.38,0.83
All,80-89,978,346,2.41,0.85
1_Year,80-89,968,318,3.31,1.09
6_Month,80-89,952,311,3.64,1.19
3_Month,80-89,927,303,3.94,1.29
1_Month,80-89,681,228,3.78,1.26
All,90+,360,92,3.09,0.79
1_Year,90+,357,81,4.53,1.03
6_Month,90+,344,78,4.89,1.11
3_Month,90+,336,76,5.32,1.2
1_Month,90+,253,57,5.09,1.15
