age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,359640,292090,635971,56.5,45.9,490,0.1
16-19,512063,443607,591331,86.6,75,188299,31.8
20-29,1098826,981443,1319364,83.3,74.4,613567,46.5
30-39,1052572,964517,1207243,87.2,79.9,629010,52.1
40-49,990650,919976,1110965,89.2,82.8,677681,61
50-59,787799,741274,874608,90.1,84.8,596089,68.2
60-69,687674,660914,747217,92,88.5,571508,76.5
70-79,475878,465101,526929,90.3,88.3,434591,82.5
80-89,215382,209740,238729,90.2,87.9,190104,79.6
90+,48995,47189,58687,83.5,80.4,41474,70.7
