age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,3,56,123,66.9,25.8,12.9,0,0,0,0,0,0
12-15,4,112,57,78.6,35.4,19.9,0,0,0,0,0,0
16-19,8,548,70,215.4,126.1,50.1,0,0,0,0,0,0
20-29,19,1141,131,173.9,101.6,79.8,0,1,1,0,0.1,0.6
30-39,33,1026,137,206.8,97.4,111.8,0,2,0,0,0.2,0
40-49,57,1157,125,254.6,117.7,134.6,0,2,0,0,0.2,0
50-59,72,1183,100,209,151.1,205.9,0,8,2,0,1,4.1
60-69,253,1733,145,329.1,284.4,268,1,11,4,1.3,1.8,7.4
70-79,520,1628,108,445.8,409.6,2464.1,5,28,5,4.3,7,114.1
80+,550,1322,158,798.6,673,1226.6,8,37,12,11.6,18.8,93.2
