age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,29,0,281,8.2,0,111,0,0,0,0,0,0
16-19,18,37,105,5,41.1,86.9,0,0,0,0,0,0
20-29,46,124,294,5.5,53,141.1,0,1,6,0,0.4,2.9
30-39,124,175,289,15.3,83.1,189.6,0,0,8,0,0,5.2
40-49,106,114,249,12.9,76.2,211.9,1,0,20,0.1,0,17
50-59,61,33,134,8.9,35.4,168.2,1,2,30,0.1,2.1,37.7
60-69,65,28,79,10.3,54.8,136.3,4,2,28,0.6,3.9,48.3
70-79,50,10,47,10.9,36.4,126.8,8,0,11,1.7,0,29.7
80-89,21,10,27,10.5,57.8,145.4,3,0,7,1.5,0,37.7
90+,3,1,4,7,13.6,57.1,0,0,1,0,0,14.3
