age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,0,2130,0,0,184.2,0,0,0,0,0,0
12-15,81,0,355,22.8,0,140.7,0,0,0,0,0,0
16-19,33,40,100,9,47,83.5,0,0,0,0,0,0
20-29,87,128,216,10.2,56.3,106.7,0,1,6,0,0.4,3
30-39,173,160,206,21,78.1,138.5,1,0,7,0.1,0,4.7
40-49,175,116,170,21.1,79.9,148,0,1,18,0,0.7,15.7
50-59,82,30,97,11.8,32.8,126.1,1,1,22,0.1,1.1,28.6
60-69,58,26,70,9.2,51.6,123.3,2,4,16,0.3,7.9,28.2
70-79,39,13,42,8.5,47.8,121.2,5,1,11,1.1,3.7,31.7
80-89,20,6,22,10,34.9,124.1,2,1,4,1,5.8,22.6
90+,2,2,6,4.6,27.1,91,0,0,3,0,0,45.5
