age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,73456,264,29,5.9,0,0,0.03,99.96,0
12-15,378197,304379,1943,59.5,47.9,0.3,58.44,41.54,0.01
16-19,518343,450818,208714,87.7,76.2,35.3,64.2,20.92,14.88
20-29,1111985,993210,657221,84.3,75.3,49.8,66.49,15.77,17.74
30-39,1061333,972589,664684,87.9,80.6,55.1,69.92,12.64,17.44
40-49,996432,925940,700679,89.7,83.3,63.1,76.11,10.54,13.34
50-59,791289,745202,609859,90.5,85.2,69.7,80.48,8.91,10.61
60-69,689693,663446,579029,92.3,88.8,77.5,85.54,7.66,6.81
70-79,476935,466459,438787,90.5,88.5,83.3,88.19,6.61,5.2
80-89,215837,210440,192066,90.4,88.2,80.5,85.21,7.5,7.29
90+,49129,47334,42076,83.7,80.7,71.7,75.58,11.48,12.93
