age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.18,81.52,18.31
12-15,65.7,54.7,15,0,0.58,47.91,51.51
16-19,89.3,78.3,46,0.2,0.56,24.58,74.86
20-29,85.7,77.2,54.8,0.9,0.84,12.52,86.64
30-39,89.1,82.1,59.8,2.1,1.43,10.25,88.32
40-49,90.6,84.8,67.1,3.6,2.17,8.35,89.48
50-59,91.3,86.6,73.4,7.4,4.36,5.37,90.27
60-69,93.2,90.4,80.9,34.2,12.01,7.46,80.52
70-79,92.1,90.7,87.4,54.8,26.45,0.39,73.16
80+,95.3,93.3,87.6,58.2,28.58,2.7,68.72
