age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.16,75.84,0
12-15,65.5,54.4,14.3,0,50.2,39.96,9.84
16-19,89.3,78.1,45.6,0.1,68.48,20.12,11.39
20-29,85.7,76.9,54.4,0.6,74.15,13.87,11.97
30-39,89.1,82,59.5,1.6,77.55,11.24,11.21
40-49,90.6,84.6,66.7,2.7,81.72,9.39,8.89
50-59,91.1,86.3,72.9,5.4,84.85,7.47,7.68
60-69,92.8,89.8,80.2,30.4,87.76,7.1,5.14
70-79,90.9,89.4,85.9,49.2,91.76,4.07,4.17
80-89,90.8,89,83.5,51.3,89.17,4.7,6.14
90+,84.4,81.7,76.1,49.5,84.12,3.75,12.12
