age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,11.4,77.6,11
12-15,65.6,54.6,14.9,0,18,43.1,38.8
16-19,89.3,78.2,46,0.2,19.1,22.6,58.4
20-29,85.6,77.1,54.7,0.8,18.6,13.4,68.1
30-39,88.9,82,59.7,2,20.6,10.6,68.8
40-49,90.6,84.7,67,3.4,20.9,9,70
50-59,91.2,86.6,73.3,7.2,20.8,6.8,72.4
60-69,93.2,90.3,80.8,34,19.5,7.7,72.8
70-79,92.1,90.6,87.3,54.5,19.6,4.1,76.2
80+,95.3,93.2,87.5,58,18.8,6.1,75
