age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.23,81.41,18.35
12-15,65.7,54.7,15,0,0.66,47.67,51.66
16-19,89.3,78.3,46,0.2,0.58,24.49,74.92
20-29,85.7,77.2,54.8,0.9,0.85,12.56,86.6
30-39,89.1,82.1,59.8,2.1,1.43,10.27,88.3
40-49,90.6,84.8,67.1,3.6,2.17,8.37,89.47
50-59,91.3,86.6,73.4,7.4,4.31,5.45,90.23
60-69,93.2,90.4,80.9,34.2,11.8,7.46,80.74
70-79,92.1,90.7,87.4,54.8,25.86,0.59,73.55
80+,95.3,93.3,87.6,58.2,28.09,2.81,69.1
