age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,336697,261572,635971,52.9,41.1,305,0
16-19,495438,429474,591331,83.8,72.6,126636,21.4
20-29,1067838,965377,1319364,80.9,73.2,422838,32
30-39,1030468,952361,1207243,85.4,78.9,471437,39.1
40-49,974592,910250,1110965,87.7,81.9,564996,50.9
50-59,778173,734445,874608,89,84,529945,60.6
60-69,682961,656484,747217,91.4,87.9,539185,72.2
70-79,473781,462475,526929,89.9,87.8,419606,79.6
80-89,214438,208651,238729,89.8,87.4,183050,76.7
90+,48753,46926,58687,83.1,80,39422,67.2
