age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,392,1,692,138.2,,74.7,0,0,0,0,,0
12-15,404,216,204,151.1,225.9,77.6,0,0,0,0,0,0
16-19,183,400,80,71.3,200.2,61.8,0,0,0,0,0,0
20-29,285,1714,240,52.9,288.1,135.7,1,0,1,0.2,0,0.6
30-39,422,1994,277,79.5,367.2,216.1,0,1,0,0,0.2,0
40-49,506,2156,241,101.9,424.3,237.1,2,0,1,0.4,0,1
50-59,631,2037,187,168.6,468.2,303.9,0,1,1,0,0.2,1.6
60-69,2397,1410,189,567.2,538.5,321,9,4,3,2.1,1.5,5.1
70-79,3132,754,120,885.5,537.1,463.6,17,4,4,4.8,2.8,15.5
80+,1573,257,106,833.4,354.1,594.8,26,14,4,13.8,19.3,22.4
