age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,283313,129961,46,22.9,10.5,0,12.55,87.45,0
12-15,410541,331813,64097,64.6,52.2,10.1,59.48,40.22,0.3
16-19,525724,457900,253131,88.9,77.4,42.8,67.92,20.13,11.95
20-29,1125387,1006709,701121,85.3,76.3,53.1,69.94,14.7,15.36
30-39,1071103,982504,703712,88.7,81.4,58.3,73.02,11.77,15.21
40-49,1003364,933989,729970,90.3,84.1,65.7,78.45,9.86,11.7
50-59,795240,750875,629280,90.9,85.9,71.9,82.36,8.21,9.43
60-69,692163,668000,593129,92.6,89.4,79.4,86.49,7.35,6.16
70-79,478232,469318,448417,90.8,89.1,85.1,89.56,5.72,4.73
80-89,216484,211686,196787,90.7,88.7,82.4,87.14,6.07,6.79
90+,49386,47701,43729,84.2,81.3,74.5,79.72,7.57,12.71
