age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,172652,37617,407819,79,238,1711,45.8,632.7,419.5,0,0,0,0,0,0
16-19,425500,23875,134170,1010,49,506,237.4,205.2,377.1,0,0,1,0,0,0.7
20-29,988327,41836,270198,2759,72,949,279.2,172.1,351.2,0,0,1,0,0,0.4
30-39,966302,32702,198022,2937,50,848,303.9,152.9,428.2,0,0,10,0,0,5
40-49,925286,24941,148329,3038,30,668,328.3,120.3,450.4,6,0,17,0.6,0,11.5
50-59,746381,16820,86765,2135,30,426,286,178.4,491,12,1,18,1.6,5.9,20.7
60-69,664301,10457,66881,1897,11,257,285.6,105.2,384.3,43,0,25,6.5,0,37.4
70-79,463454,5782,21548,1317,15,129,284.2,259.4,598.7,72,3,18,15.5,51.9,83.5
80-89,208450,3904,13184,637,4,90,305.6,102.5,682.6,77,2,28,36.9,51.2,212.4
90+,46481,1749,3266,179,5,27,385.1,285.9,826.7,19,1,8,40.9,57.2,244.9
