instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2023-01-12T00:00:00.000Z
Tel Aviv Medical Center       ,,,2023-01-12T00:00:00.000Z
,,,2023-01-12T00:00:00.000Z
Assuta Ashdod                 ,,,2023-01-12T00:00:00.000Z
Hadassah Mount Scopus         ,69.4,85.9,2023-01-12T00:00:00.000Z
Laniado                       ,78.2,92.6,2023-01-12T00:00:00.000Z
Poriah Hospital               ,80.8,75.5,2023-01-12T00:00:00.000Z
Barzilai Medical Center       ,85.4,82.6,2023-01-12T00:00:00.000Z
Bnei Ziom Medical Center      ,105.8,84.8,2023-01-12T00:00:00.000Z
,,,2023-01-12T00:00:00.000Z
Hillel Yaffeh Medical Center  ,104.1,90,2023-01-12T00:00:00.000Z
Hadassah Ein Kerem            ,125.2,99.2,2023-01-12T00:00:00.000Z
Hacarmel Hospital             ,,,2023-01-12T00:00:00.000Z
Haemek Valley Center Hospital ,,,2023-01-12T00:00:00.000Z
The Holy Family               ,,,2023-01-12T00:00:00.000Z
,,,2023-01-12T00:00:00.000Z
Woolfson Medical Center       ,74.6,73.7,2023-01-12T00:00:00.000Z
      Ziv Hospital            ,91.7,75.3,2023-01-12T00:00:00.000Z
Yosephtal Hospital            ,,,2023-01-12T00:00:00.000Z
Meir Hospital                 ,,,2023-01-12T00:00:00.000Z
Mayanei Hayeshua              ,,,2023-01-12T00:00:00.000Z
Nahariya                      ,109,90.2,2023-01-12T00:00:00.000Z
Soroka Medical Center         ,,,2023-01-12T00:00:00.000Z
,,,2023-01-12T00:00:00.000Z
Kaplan Hospital               ,,,2023-01-12T00:00:00.000Z
Rabin K. Beilinson            ,,,2023-01-12T00:00:00.000Z
Rabin K. Hasharon             ,,,2023-01-12T00:00:00.000Z
Assaf Harofeh Medical Center  ,91.1,72.9,2023-01-12T00:00:00.000Z
Rambam                        ,100.5,92.4,2023-01-12T00:00:00.000Z
Chaim Sheba Medical Center    ,,,2023-01-12T00:00:00.000Z
Shmuel Harofe                 ,,,2023-01-12T00:00:00.000Z
Shaare Zedek                  ,110.7,101.8,2023-01-12T00:00:00.000Z
