age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.4,80.6,18.9
12-15,65.7,54.7,15,0.1,0.9,46,53.1
16-19,89.3,78.3,46,0.3,0.6,23.7,75.7
20-29,85.7,77.2,54.8,1,0.7,12.9,86.4
30-39,89,82.1,59.8,2.3,0.9,10.4,88.7
40-49,90.6,84.8,67.1,3.8,1.3,8.6,90.1
50-59,91.3,86.6,73.4,7.8,2.2,6,91.8
60-69,93.2,90.3,80.9,34.6,4,7.4,88.5
70-79,92.1,90.7,87.4,55.3,7.1,1.9,91
80+,95.3,93.3,87.7,58.9,6.8,5.2,88
