age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23,76.9,0.1
12-15,65.6,54.5,14.7,0,37.1,42.5,20.5
16-19,89.2,78.2,45.9,0.2,33.6,22.3,44.2
20-29,85.6,77,54.7,0.8,29.9,13.5,56.6
30-39,88.9,81.9,59.6,1.9,34.1,10.7,55.3
40-49,90.5,84.7,67,3.3,35.5,9.2,55.4
50-59,91.2,86.5,73.2,6.8,34.6,7,58.4
60-69,93.1,90.2,80.8,33.5,51.5,7.9,40.6
70-79,92,90.6,87.3,54,65,4.7,30.3
80+,95.3,93.2,87.5,57.5,64.9,6.4,28.7
