age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,204068,73109,340911,300,696,4435,147,952,1300.9,0,0,0,0,0,0
16-19,435670,33469,114406,2611,152,1559,599.3,454.2,1362.7,0,0,1,0,0,0.9
20-29,996648,45965,257748,8875,288,3029,890.5,626.6,1175.2,1,1,14,0.1,2.2,5.4
30-39,973400,37327,186299,8688,210,2700,892.5,562.6,1449.3,4,0,23,0.4,0,12.3
40-49,931405,28739,138412,7513,130,1799,806.6,452.3,1299.7,14,1,55,1.5,3.5,39.7
50-59,751235,18732,79999,4906,92,1066,653.1,491.1,1332.5,38,1,47,5.1,5.3,58.8
60-69,667912,11008,62719,2599,54,678,389.1,490.6,1081,75,4,86,11.2,36.3,137.1
70-79,465711,5980,19093,1446,22,404,310.5,367.9,2116,78,5,72,16.7,83.6,377.1
80-89,209540,3982,12016,919,20,202,438.6,502.3,1681.1,87,3,44,41.5,75.3,366.2
90+,46733,1798,2965,300,12,72,641.9,667.4,2428.3,22,1,17,47.1,55.6,573.4
