age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,219301,86843,36,17.7,7,0,6.23,93.77,0
12-15,399559,323296,30905,62.8,50.8,4.9,59.1,40.88,0.02
16-19,522765,455019,233052,88.4,76.9,39.4,66.47,20.47,13.06
20-29,1120543,1001789,684505,84.9,75.9,51.9,68.66,15.07,16.27
30-39,1067426,978781,688948,88.4,81.1,57.1,71.86,12.09,16.05
40-49,1000626,930738,717815,90.1,83.8,64.6,77.54,10.14,12.32
50-59,793718,748472,620401,90.8,85.6,70.9,81.64,8.46,9.9
60-69,691200,665684,585285,92.5,89.1,78.3,86.16,7.41,6.43
70-79,477667,467777,442518,90.7,88.8,84,89.13,5.92,4.95
80-89,216139,210953,193533,90.5,88.4,81.1,85.99,6.97,7.03
90+,49226,47463,42491,83.9,80.9,72.4,77.01,10.27,12.72
