age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,343645,269172,635971,54,42.3,370,0.1
16-19,499654,432807,591331,84.5,73.2,146620,24.8
20-29,1075531,969355,1319364,81.5,73.5,487129,36.9
30-39,1036799,955560,1207243,85.9,79.2,533510,44.2
40-49,979453,913141,1110965,88.2,82.2,612200,55.1
50-59,780984,736542,874608,89.3,84.2,557124,63.7
60-69,684228,657795,747217,91.6,88,551686,73.8
70-79,474205,463134,526929,90,87.9,424344,80.5
80-89,214621,208888,238729,89.9,87.5,184881,77.4
90+,48791,46979,58687,83.1,80.1,39843,67.9
