age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,213693,161644,618088,34.6,26.2,4,0
16-19,450278,396966,583545,77.2,68,23,0
20-29,1030776,940732,1300361,79.3,72.3,192,0
30-39,999592,931708,1197026,83.5,77.8,467,0
40-49,950792,891804,1098556,86.5,81.2,1454,0.1
50-59,763488,719421,849966,89.8,84.6,3012,0.4
60-69,674977,646656,741639,91,87.2,221679,29.9
70-79,469349,456831,490784,95.6,93.1,219080,44.6
80-89,212420,206440,225538,94.2,91.5,90149,40
90+,48250,46467,51496,93.7,90.2,18714,36.3
