age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,369669,302500,651,58.1,47.6,0.1,58.35,41.64,0.02
16-19,517380,449776,204322,87.5,76.1,34.6,63.78,20.98,15.23
20-29,1110050,991120,649791,84.1,75.1,49.3,66.09,16.01,17.9
30-39,1059811,971123,657739,87.8,80.4,54.5,69.6,12.8,17.6
40-49,995402,924863,696019,89.6,83.2,62.6,75.85,10.66,13.49
50-59,790651,744471,607036,90.4,85.1,69.4,80.23,9.08,10.69
60-69,689354,662947,577556,92.3,88.7,77.3,85.44,7.74,6.82
70-79,476733,466222,437985,90.5,88.5,83.1,87.94,6.85,5.21
80-89,215769,210320,191688,90.4,88.1,80.3,85.04,7.68,7.29
90+,49103,47310,41975,83.7,80.6,71.5,75.22,11.9,12.88
