age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,7528,7,17972,2611.1,,1972.1,0,0,1,0,,0.1
12-15,6265,1192,3875,1842.5,3418,1593.2,2,0,2,0.6,0,0.8
16-19,7227,1093,2051,1787.5,1859.2,1784.1,4,0,2,1,0,1.7
20-29,13176,2140,3621,1377.7,1380.1,1983.9,3,0,3,0.3,0,1.6
30-39,17461,2766,4289,1909.4,2030.7,3175.5,8,1,10,0.9,0.7,7.4
40-49,17656,1848,3462,1980.4,1861.7,3311.3,9,6,23,1,6,22
50-59,11732,1096,2179,1605.1,1633.4,3233.1,48,13,41,6.6,19.4,60.8
60-69,10842,904,1917,1667.1,2332.3,3588.2,96,20,71,14.8,51.6,132.9
70-79,6836,452,1102,1435.1,2045.3,4313.1,111,27,89,23.3,122.2,348.3
80-89,3706,247,750,1773,1677,5994.7,116,25,104,55.5,169.7,831.3
90+,1366,72,288,2903.4,1036.1,9076.6,37,4,34,78.6,57.6,1071.5
