age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.3,0,0,24.03,75.96,0
12-15,65.4,54.3,14.1,0,55.01,39.35,5.64
16-19,89.3,78,45.4,0.1,69.94,19.89,10.17
20-29,85.6,76.8,54.2,0.5,73.91,14.11,11.98
30-39,89,81.8,59.2,1.3,77.12,11.39,11.49
40-49,90.5,84.4,66.5,2.2,81.39,9.55,9.06
50-59,91.1,86.2,72.7,4.4,84.46,7.79,7.75
60-69,92.7,89.7,80.1,29.2,87.59,7.19,5.22
70-79,90.9,89.3,85.8,47.6,90.91,4.88,4.22
80-89,90.8,89,83.3,49.9,88.47,5.3,6.23
90+,84.4,81.7,75.8,47.9,82.29,5.55,12.15
