age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,0,2172,0,0,175.5,0,0,1,0,0,0.1
12-15,41,0,336,11.6,0,132.6,0,0,0,0,0,0
16-19,27,36,131,7.5,40.9,108.9,0,0,0,0,0,0
20-29,59,129,315,7,55.9,152.9,0,2,6,0,0.9,2.9
30-39,140,181,296,17.2,86.9,195.9,0,0,9,0,0,6
40-49,154,120,242,18.7,81.2,207.4,1,0,19,0.1,0,16.3
50-59,67,48,151,9.7,51.9,191.8,1,2,24,0.1,2.2,30.5
60-69,49,34,81,7.8,67.1,140.7,2,3,24,0.3,5.9,41.7
70-79,46,13,43,10,47.5,118.7,5,1,15,1.1,3.7,41.4
80-89,17,7,28,8.5,40.6,153.2,3,0,6,1.5,0,32.8
90+,4,1,5,9.3,13.6,72.9,1,0,1,2.3,0,14.6
