age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,365475,301238,593,57.5,47.4,0.1,58.26,41.73,0.02
16-19,516822,449184,202624,87.4,76,34.3,63.49,21.08,15.43
20-29,1108952,990064,646194,84.1,75,49,65.83,16.11,18.06
30-39,1059065,970410,654617,87.7,80.4,54.2,69.4,12.86,17.74
40-49,994911,924265,694011,89.6,83.2,62.5,75.7,10.72,13.59
50-59,790378,744053,605901,90.4,85.1,69.3,80.13,9.14,10.74
60-69,689173,662711,576899,92.2,88.7,77.2,85.38,7.78,6.84
70-79,476636,466080,437619,90.5,88.5,83.1,87.85,6.92,5.23
80-89,215723,210233,191515,90.4,88.1,80.2,84.94,7.75,7.31
90+,49094,47293,41929,83.7,80.6,71.4,75.11,12.01,12.88
