age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1,64,109,21.6,29.2,11.4,0,0,0,0,0,0
12-15,3,128,52,58.3,40.2,18.3,0,0,0,0,0,0
16-19,8,459,53,222.3,105.3,38.2,0,0,0,0,0,0
20-29,16,1056,117,159.4,94,71,0,0,1,0,0,0.6
30-39,28,978,150,202.2,92.7,121.9,0,1,0,0,0.1,0
40-49,38,1111,98,199.5,112.7,104.9,0,1,0,0,0.1,0
50-59,80,1165,92,278.8,147.9,186.3,0,3,0,0,0.4,0
60-69,208,1598,119,331.5,256.5,218.7,1,13,3,1.6,2.1,5.5
70-79,413,1577,98,433.2,378,1638.5,2,25,3,2.1,6,50.2
80+,385,1238,125,679,594.8,937.2,3,53,11,5.3,25.5,82.5
