age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.4,81,18.6
12-15,65.7,54.7,15.1,0.1,0.8,46.8,52.3
16-19,89.3,78.3,46.1,0.4,0.6,24,75.4
20-29,85.7,77.2,54.9,1.1,0.8,12.7,86.5
30-39,89,82.1,59.8,2.5,1.2,10.3,88.5
40-49,90.6,84.8,67.2,4.2,1.7,8.5,89.8
50-59,91.3,86.6,73.4,8.6,3.3,5.7,91
60-69,93.2,90.4,81,35.4,8.5,7.4,84.2
70-79,92.1,90.7,87.6,56.4,18.4,1.2,80.5
80+,95.4,93.3,87.9,60.3,20.4,4.8,74.8
