period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
All,5-11,664,24073,0.13,4.83
1_Year,5-11,664,24023,0.15,5.61
6_Month,5-11,664,23843,0.17,6.12
3_Month,5-11,664,22552,0.24,8.23
1_Month,5-11,654,22159,0.25,8.59
All,12-15,4219,11221,1.71,4.56
1_Year,12-15,4219,11137,2.15,5.67
6_Month,12-15,4213,10982,2.41,6.27
3_Month,12-15,4133,10099,2.98,7.28
1_Month,12-15,4045,9904,3.03,7.43
1_Month,16-19,7205,6869,6.47,6.17
3_Month,16-19,7308,6991,6.41,6.13
6_Month,16-19,7501,7864,5.35,5.61
1_Year,16-19,7532,7974,4.75,5.03
All,16-19,7536,8159,3.36,3.64
1_Month,20-29,16141,12284,7.27,5.53
3_Month,20-29,16385,12519,7.19,5.49
6_Month,20-29,16902,14381,5.8,4.94
1_Year,20-29,16947,14630,5.12,4.42
All,20-29,16953,14875,3.77,3.31
3_Month,30-39,13556,10208,6.02,4.54
All,30-39,14033,11895,3.43,2.91
1_Year,30-39,14030,11750,4.37,3.66
6_Month,30-39,13974,11549,4.83,3.99
1_Month,30-39,13347,10020,6.11,4.59
All,40-49,12648,8649,3.56,2.44
1_Year,40-49,12641,8539,4.56,3.08
6_Month,40-49,12586,8408,4.99,3.33
3_Month,40-49,12258,7614,6,3.73
1_Month,40-49,12071,7478,6.08,3.77
All,50-59,7525,4493,3.25,1.94
1_Year,50-59,7524,4399,4.35,2.54
6_Month,50-59,7475,4327,4.75,2.75
3_Month,50-59,7295,4013,5.57,3.06
1_Month,50-59,7200,3955,5.63,3.09
1_Month,60-69,4004,2065,4.75,2.45
3_Month,60-69,4073,2091,4.72,2.42
6_Month,60-69,4174,2190,4.1,2.15
1_Year,60-69,4208,2230,3.78,2
All,60-69,4213,2279,2.8,1.51
1_Month,70-79,1633,543,3.85,1.28
6_Month,70-79,1720,581,3.33,1.12
3_Month,70-79,1658,548,3.82,1.26
1_Year,70-79,1737,599,3.06,1.06
All,70-79,1741,629,2.28,0.82
1_Month,80-89,711,223,4.41,1.38
3_Month,80-89,717,226,4.35,1.37
6_Month,80-89,749,235,3.64,1.14
1_Year,80-89,760,240,3.29,1.04
All,80-89,768,267,2.3,0.8
All,90+,287,76,2.94,0.78
1_Year,90+,285,67,4.56,1.07
3_Month,90+,264,60,5.99,1.36
1_Month,90+,260,60,6,1.39
6_Month,90+,278,64,5.05,1.16
