age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.8,16.2,0,0,21.43,78.57,0
12-15,65.4,53.9,13.7,0,57.99,39.44,2.57
16-19,89.2,77.8,45.1,0.1,69.86,19.87,10.27
20-29,85.5,76.6,53.9,0.3,72.67,14.28,13.05
30-39,88.9,81.7,59,0.9,75.7,11.46,12.84
40-49,90.4,84.3,66.4,1.4,80.35,9.63,10.01
50-59,91,86.1,72.5,2.5,83.73,7.93,8.34
60-69,92.7,89.6,79.9,27.7,87.19,7.24,5.58
70-79,90.8,89.3,85.7,45.5,90.36,5.22,4.42
80-89,90.8,88.9,83.1,47.5,87.93,5.63,6.44
90+,84.3,81.6,75.5,45.2,81.3,6.36,12.34
