age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,37,0,2752,87.6,0,267.7,0,0,1,0,0,0.1
12-15,1012,0,638,283.5,0,256.1,0,0,0,0,0,0
16-19,427,126,331,113,165,281.4,0,0,1,0,0,0.9
20-29,1107,244,425,126.4,115.3,218.4,0,0,2,0,0,1
30-39,1130,327,421,134.3,170.9,293.9,0,0,6,0,0,4.2
40-49,1157,236,293,137.5,173.5,263.4,0,0,15,0,0,13.5
50-59,762,88,161,108.6,101.8,219,1,1,17,0.1,1.2,23.1
60-69,514,44,99,80.6,91.5,179.3,2,3,13,0.3,6.2,23.5
70-79,276,25,46,59.3,95.8,146.6,2,0,10,0.4,0,31.9
80-89,88,5,22,43.4,29.9,132.5,2,0,6,1,0,36.1
90+,20,2,6,45.6,27.4,100.6,0,0,0,0,0,0
