age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,200420,75169,34,16.2,6.1,0,4.6,95.4,0
12-15,396935,321078,23884,62.4,50.5,3.8,58.92,41.06,0.02
16-19,522084,454443,228901,88.3,76.9,38.7,66.16,20.55,13.29
20-29,1119371,1000734,681073,84.8,75.8,51.6,68.39,15.15,16.46
30-39,1066552,978000,685849,88.3,81,56.8,71.61,12.16,16.23
40-49,1000014,930122,715292,90,83.7,64.4,77.34,10.2,12.46
50-59,793390,748007,618650,90.7,85.5,70.7,81.47,8.51,10.02
60-69,691022,665349,584156,92.5,89,78.2,86.08,7.44,6.48
70-79,477600,467596,441836,90.6,88.7,83.9,89.04,5.98,4.98
80-89,216110,210882,193257,90.5,88.3,81,85.92,7.02,7.07
90+,49208,47442,42425,83.8,80.8,72.3,76.87,10.39,12.75
