age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.8,16.6,0,0,22.22,77.78,0
12-15,65.4,54,13.8,0,56.33,39.43,4.24
16-19,89.2,77.9,45.2,0.1,69.62,19.85,10.52
20-29,85.5,76.7,54,0.3,72.88,14.25,12.88
30-39,88.9,81.7,59.1,1,75.91,11.46,12.63
40-49,90.4,84.3,66.4,1.5,80.52,9.63,9.85
50-59,91,86.1,72.6,2.9,83.85,7.91,8.24
60-69,92.7,89.7,80,28,87.23,7.24,5.53
70-79,90.8,89.3,85.7,46.1,90.45,5.16,4.39
80-89,90.8,88.9,83.2,48.2,88.03,5.55,6.42
90+,84.3,81.6,75.6,45.9,81.52,6.18,12.3
