age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,329537,252802,635971,51.8,39.8,285,0
16-19,491898,425966,591331,83.2,72,114437,19.4
20-29,1063990,962564,1319364,80.6,73,385729,29.2
30-39,1027271,949839,1207243,85.1,78.7,435994,36.1
40-49,972070,908051,1110965,87.5,81.7,536275,48.3
50-59,776595,732803,874608,88.8,83.8,513095,58.7
60-69,682265,655497,747217,91.3,87.7,531161,71.1
70-79,473512,461962,526929,89.9,87.7,416018,79
80-89,214309,208479,238729,89.8,87.3,181669,76.1
90+,48720,46889,58687,83,79.9,39075,66.6
