period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1446,5220,9.22,33.27
3_Month,5-11,2652,10148,7.7,29.45
6_Month,5-11,3884,30262,1.54,11.96
1_Year,5-11,4455,51231,0.73,8.38
All,5-11,4455,51612,0.62,7.17
1_Month,12-15,794,1028,13.92,18.02
3_Month,12-15,1761,2409,10.43,14.27
6_Month,12-15,4802,7793,4.33,7.03
1_Year,12-15,8535,18025,3.13,6.6
All,12-15,8536,18395,2.48,5.35
1_Month,16-19,1758,547,22.38,6.96
3_Month,16-19,3107,1054,18.09,6.14
6_Month,16-19,7354,3191,7.97,3.46
1_Year,16-19,14177,10721,6.4,4.84
All,16-19,14224,11032,4.66,3.61
1_Month,20-29,5635,1535,21.68,5.9
3_Month,20-29,9335,2680,17.62,5.06
6_Month,20-29,20017,6917,9.28,3.21
1_Year,20-29,35457,20730,7.27,4.25
All,20-29,35522,21256,5.51,3.29
1_Month,30-39,6674,1950,20.33,5.94
3_Month,30-39,10698,3382,16.05,5.07
6_Month,30-39,21605,8089,8.15,3.05
1_Year,30-39,34188,19006,6.42,3.57
All,30-39,34279,19377,5.26,2.98
1_Month,40-49,5883,1479,18.56,4.66
3_Month,40-49,10001,2557,14.87,3.8
6_Month,40-49,19081,6020,7.56,2.38
1_Year,40-49,30452,13925,6.29,2.88
All,40-49,30555,14189,5.21,2.42
1_Month,50-59,4240,894,14.04,2.96
3_Month,50-59,7033,1513,11.16,2.4
6_Month,50-59,12838,3399,6.72,1.78
1_Year,50-59,19607,7499,5.85,2.24
All,50-59,19674,7681,4.81,1.88
1_Month,60-69,3242,508,9.77,1.53
3_Month,60-69,5244,823,7.74,1.21
6_Month,60-69,8427,1795,5.3,1.13
1_Year,60-69,12287,3878,4.85,1.53
All,60-69,12344,3981,4.09,1.32
1_Month,70-79,1966,233,6.76,0.8
3_Month,70-79,3174,356,5.33,0.6
6_Month,70-79,4424,668,3.92,0.59
1_Year,70-79,6001,1223,3.73,0.76
All,70-79,6027,1277,3.25,0.69
1_Month,80+,1385,151,8.18,0.89
3_Month,80+,2053,226,6.66,0.73
6_Month,80+,2774,410,4.92,0.73
1_Year,80+,3729,696,4.61,0.86
All,80+,3761,743,3.84,0.76
