age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,6.5,78.4,15.1
12-15,65.6,54.6,14.9,0,11.2,43.6,45.3
16-19,89.3,78.2,46,0.2,12.2,22.7,65.2
20-29,85.6,77.1,54.7,0.8,12.7,13.3,74
30-39,88.9,82,59.7,2,14.6,10.5,74.9
40-49,90.6,84.7,67,3.5,14.9,9,76
50-59,91.2,86.6,73.3,7.2,15.7,6.7,77.6
60-69,93.2,90.3,80.8,34,13.1,7.7,79.2
70-79,92.1,90.7,87.4,54.6,12.5,3.9,83.5
80+,95.3,93.2,87.5,58,11.6,6.1,82.3
