age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,886,0,1606,305.3,,174.8,0,0,2,0,,0.2
12-15,518,267,357,179.7,327.7,142.8,1,0,0,0.3,0,0
16-19,930,137,252,240.6,184,214.2,1,0,1,0.3,0,0.8
20-29,3327,339,681,346.8,214.9,382.1,0,0,1,0,0,0.6
30-39,4299,390,863,466.9,291.3,651,1,1,3,0.1,0.7,2.3
40-49,3950,261,722,441,265.7,705.9,5,2,2,0.6,2,2
50-59,3359,166,596,457.3,247,930.1,7,0,10,1,0,15.6
60-69,4700,151,661,722.4,392.2,1231.5,29,4,12,4.5,10.4,22.4
70-79,3803,83,448,789.6,377,2185.9,37,6,4,7.7,27.3,19.5
80-89,1785,74,231,834.3,500.3,2992.6,33,2,18,15.4,13.5,233.2
90+,532,24,67,1048.2,331.1,,26,2,7,51.2,27.6,
