age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,302210,202416,618088,48.9,32.7,144,0
16-19,479899,410443,583545,82.2,70.3,46546,8
20-29,1051266,951986,1300361,80.8,73.2,186272,14.3
30-39,1017720,941233,1197026,85,78.6,279157,23.3
40-49,965123,900993,1098556,87.9,82,415279,37.8
50-59,772713,727805,849966,90.9,85.6,449856,52.9
60-69,680293,652077,741639,91.7,87.9,501518,67.6
70-79,472439,459962,490784,96.3,93.7,401374,81.8
80-89,213822,207698,225538,94.8,92.1,175341,77.7
90+,48607,46726,51496,94.4,90.7,37490,72.8
