age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,13,51,93,263.1,23,9.8,0,0,0,0,0,0
12-15,6,91,31,113.6,28.2,11,0,0,0,0,0,0
16-19,9,236,24,257.4,53.9,17.5,0,0,0,0,0,0
20-29,18,583,43,188.5,52,25.8,0,0,1,0,0,0.6
30-39,19,457,58,167,43.3,46.9,0,0,0,0,0,0
40-49,18,555,62,119.7,56.1,65.6,0,1,0,0,0.1,0
50-59,33,567,44,159.8,71.4,85.7,0,3,2,0,0.4,3.9
60-69,86,979,75,238.5,150.7,137.1,0,13,2,0,2,3.7
70-79,140,1086,65,290,235.4,728,0,21,5,0,4.6,56
80+,106,742,72,402.2,312.1,511.2,3,24,9,11.4,10.1,63.9
