instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-11-05T00:00:00.000Z
Tel Aviv Medical Center       ,,,2022-11-05T00:00:00.000Z
,,,2022-11-05T00:00:00.000Z
      Ziv Hospital            ,67.2,61.1,2022-11-05T00:00:00.000Z
Hadassah Mount Scopus         ,72.2,71.9,2022-11-05T00:00:00.000Z
Woolfson Medical Center       ,75.8,70,2022-11-05T00:00:00.000Z
Poriah Hospital               ,78.2,71,2022-11-05T00:00:00.000Z
Barzilai Medical Center       ,80.2,68.2,2022-11-05T00:00:00.000Z
Laniado                       ,80.8,76.6,2022-11-05T00:00:00.000Z
Assaf Harofeh Medical Center  ,80.3,61.8,2022-11-05T00:00:00.000Z
Hillel Yaffeh Medical Center  ,89,75.3,2022-11-05T00:00:00.000Z
Rambam                        ,90.4,78.8,2022-11-05T00:00:00.000Z
Bnei Ziom Medical Center      ,94.2,79.2,2022-11-05T00:00:00.000Z
Chaim Sheba Medical Center    ,106.3,101.6,2022-11-05T00:00:00.000Z
Nahariya                      ,107.4,78,2022-11-05T00:00:00.000Z
Hadassah Ein Kerem            ,113.6,86.4,2022-11-05T00:00:00.000Z
Assuta Ashdod                 ,137.3,98.3,2022-11-05T00:00:00.000Z
,,,2022-11-05T00:00:00.000Z
Hacarmel Hospital             ,,,2022-11-05T00:00:00.000Z
Haemek Valley Center Hospital ,,,2022-11-05T00:00:00.000Z
The Holy Family               ,,,2022-11-05T00:00:00.000Z
,,,2022-11-05T00:00:00.000Z
Yosephtal Hospital            ,,,2022-11-05T00:00:00.000Z
Meir Hospital                 ,,,2022-11-05T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-11-05T00:00:00.000Z
Soroka Medical Center         ,,,2022-11-05T00:00:00.000Z
,,,2022-11-05T00:00:00.000Z
Kaplan Hospital               ,,,2022-11-05T00:00:00.000Z
Rabin K. Beilinson            ,,,2022-11-05T00:00:00.000Z
Rabin K. Hasharon             ,,,2022-11-05T00:00:00.000Z
Shmuel Harofe                 ,,,2022-11-05T00:00:00.000Z
Shaare Zedek                  ,,,2022-11-05T00:00:00.000Z
